Retailer,Retailer ID,Invoice Date ,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
West Gear,1128299,17-04-2020,South,Louisiana,New Orleans,Men's Apparel,53,147,779,366,Outlet
West Gear,1197831,16-03-2021,South,Louisiana,New Orleans,Women's Apparel,23,147,338,169,Outlet
Foot Locker,1197831,08-04-2020,West,Idaho,Boise,Men's Apparel,43,147,632,259,Outlet
Foot Locker,1128299,03-03-2021,West,Arizona,Phoenix,Women's Street Footwear,41,147,603,229,Outlet
Kohl's,1128299,31-10-2020,West,Arizona,Phoenix,Men's Athletic Footwear,30,147,441,207,Outlet
Kohl's,1128299,16-08-2020,West,New Mexico,Albuquerque,Women's Street Footwear,39,147,573,241,Outlet
Foot Locker,1128299,23-06-2020,Southeast,Georgia,Atlanta,Women's Street Footwear,36,147,529,222,Outlet
Foot Locker,1185732,14-06-2021,South,Mississippi,Jackson,Women's Apparel,22,147,323,171,Outlet
Walmart,1185732,21-02-2020,South,Mississippi,Jackson,Women's Athletic Footwear,32,147,470,198,Outlet
Kohl's,1185732,05-02-2020,West,Wyoming,Cheyenne,Women's Street Footwear,42,146,613,307,Online
Foot Locker,1185732,27-10-2020,Midwest,Iowa,Des Moines,Men's Street Footwear,57,146,832,350,Online
Foot Locker,1185732,13-04-2021,Midwest,Minnesota,Minneapolis,Women's Street Footwear,40,145,5800,"1,740.00",Outlet
West Gear,1128299,16-12-2020,West,California,San Francisco,Men's Apparel,62,145,899,566,Online
Kohl's,1189833,21-11-2021,West,California,Los Angeles,Men's Apparel,49,145,711,469,Online
Sports Direct,1197831,20-06-2020,South,Texas,Dallas,Women's Street Footwear,28,145,406,191,Online
Sports Direct,1197831,14-11-2021,South,Texas,Dallas,Men's Apparel,45,145,653,281,Online
Sports Direct,1197831,01-12-2020,South,Texas,Dallas,Women's Athletic Footwear,59,145,856,530,Online
Foot Locker,1185732,12-11-2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60,145,870,583,Online
West Gear,1128299,19-10-2020,West,Nevada,Las Vegas,Women's Apparel,78,145,1131,339,Online
Sports Direct,1197831,13-08-2020,South,Tennessee,Knoxville,Men's Apparel,43,145,624,299,Online
Foot Locker,1185732,17-03-2020,Midwest,Nebraska,Omaha,Men's Street Footwear,41,145,595,315,Online
Sports Direct,1197831,23-09-2021,South,Alabama,Birmingham,Men's Apparel,49,145,711,391,Online
Sports Direct,1197831,13-01-2021,South,Alabama,Birmingham,Men's Apparel,58,145,841,471,Online
Sports Direct,1128299,09-02-2021,West,Hawaii,Honolulu,Women's Athletic Footwear,73,145,1059,370,Online
West Gear,1185732,09-03-2021,Southeast,Florida,Orlando,Women's Athletic Footwear,37,145,537,220,Online
Kohl's,1185732,30-06-2021,Northeast,New York,Albany,Men's Apparel,49,145,711,320,Online
Kohl's,1185732,08-03-2020,Northeast,New York,Albany,Men's Athletic Footwear,37,145,537,220,Online
Kohl's,1185732,22-08-2020,West,Wyoming,Cheyenne,Men's Apparel,47,145,682,279,Online
Kohl's,1185732,02-05-2021,West,Wyoming,Cheyenne,Women's Street Footwear,28,145,406,187,Online
Kohl's,1185732,20-10-2021,West,Wyoming,Cheyenne,Women's Street Footwear,39,145,566,277,Online
Foot Locker,1185732,27-03-2020,West,Wyoming,Cheyenne,Men's Apparel,54,145,783,352,Online
Sports Direct,1185732,17-10-2021,Midwest,Michigan,Detroit,Women's Street Footwear,34,145,493,207,Online
Sports Direct,1185732,23-09-2020,Midwest,Michigan,Detroit,Men's Athletic Footwear,42,145,609,335,Online
West Gear,1185732,24-10-2021,West,Utah,Salt Lake City,Men's Athletic Footwear,28,145,406,199,Online
West Gear,1128299,06-10-2021,West,Oregon,Portland,Men's Street Footwear,48,145,696,313,Online
West Gear,1128299,17-09-2021,South,Louisiana,New Orleans,Men's Street Footwear,43,145,624,343,Online
Foot Locker,1128299,01-11-2021,West,Arizona,Phoenix,Men's Street Footwear,37,145,537,252,Online
Foot Locker,1128299,30-09-2020,West,Arizona,Phoenix,Men's Athletic Footwear,47,145,682,361,Online
Kohl's,1128299,19-12-2020,West,New Mexico,Albuquerque,Men's Apparel,57,145,827,355,Online
Sports Direct,1128299,31-08-2021,West,New Mexico,Albuquerque,Women's Athletic Footwear,55,145,798,367,Online
Sports Direct,1128299,12-09-2020,West,New Mexico,Albuquerque,Men's Street Footwear,29,145,421,223,Online
Walmart,1185732,14-04-2020,South,Mississippi,Jackson,Men's Athletic Footwear,25,145,363,163,Online
Kohl's,1197831,20-08-2021,Midwest,Kansas,Wichita,Men's Street Footwear,29,145,421,193,Online
Foot Locker,1185732,25-11-2021,Midwest,North Dakota,Fargo,Men's Street Footwear,28,145,406,179,Online
Foot Locker,1185732,14-08-2020,Northeast,Delaware,Wilmington,Women's Apparel,55,145,798,399,Online
Foot Locker,1185732,13-05-2020,Northeast,New Hampshire,Manchester,Men's Street Footwear,52,145,754,347,Online
Sports Direct,1197831,16-11-2020,South,Texas,Dallas,Women's Athletic Footwear,30,145,435,235,Outlet
West Gear,1128299,01-08-2021,West,Nevada,Las Vegas,Men's Athletic Footwear,35,145,508,157,Outlet
West Gear,1128299,03-01-2021,West,Nevada,Las Vegas,Women's Athletic Footwear,47,145,682,307,Outlet
West Gear,1128299,28-02-2020,West,Nevada,Las Vegas,Men's Athletic Footwear,31,145,450,112,Outlet
Sports Direct,1197831,29-01-2021,South,Tennessee,Knoxville,Women's Apparel,25,145,363,221,Outlet
West Gear,1128299,18-09-2021,West,Oregon,Portland,Men's Apparel,50,145,725,334,Outlet
Foot Locker,1128299,24-12-2020,West,Idaho,Boise,Women's Street Footwear,31,145,450,175,Outlet
Foot Locker,1128299,03-07-2020,West,Arizona,Phoenix,Men's Apparel,40,145,580,215,Outlet
Foot Locker,1128299,28-08-2021,West,Arizona,Phoenix,Women's Apparel,46,145,667,200,Outlet
Foot Locker,1128299,03-10-2021,West,Arizona,Phoenix,Women's Street Footwear,34,145,493,182,Outlet
Kohl's,1128299,26-07-2020,West,New Mexico,Albuquerque,Women's Athletic Footwear,37,145,537,220,Outlet
Kohl's,1128299,08-11-2020,West,New Mexico,Albuquerque,Men's Apparel,40,145,580,203,Outlet
Sports Direct,1128299,04-12-2020,Southeast,Georgia,Atlanta,Women's Street Footwear,40,145,580,226,Outlet
Sports Direct,1128299,04-08-2020,Southeast,Georgia,Atlanta,Women's Street Footwear,39,145,566,226,Outlet
Walmart,1185732,05-03-2020,South,Mississippi,Jackson,Women's Street Footwear,15,145,218,102,Outlet
Walmart,1197831,05-11-2020,South,Arkansas,Little Rock,Women's Apparel,16,145,232,97,Outlet
Walmart,1197831,18-08-2021,South,Arkansas,Little Rock,Women's Apparel,33,145,479,225,Outlet
Amazon,1185732,04-12-2021,Northeast,Vermont,Burlington,Men's Athletic Footwear,42,145,609,305,Outlet
Amazon,1185732,28-09-2020,Northeast,Vermont,Burlington,Women's Apparel,60,145,870,409,Outlet
Amazon,1185732,01-06-2020,Northeast,New Hampshire,Manchester,Women's Apparel,46,145,667,247,Outlet
Foot Locker,1185732,10-01-2020,Midwest,Illinois,Chicago,Men's Street Footwear,47,144,677,372,Online
Sports Direct,1197831,23-11-2020,South,Texas,Dallas,Women's Street Footwear,41,144,590,307,Online
West Gear,1128299,27-06-2020,West,Colorado,Denver,Men's Athletic Footwear,59,144,850,425,Online
West Gear,1128299,07-12-2021,West,Washington,Seattle,Men's Apparel,77,144,1109,388,Online
Sports Direct,1197831,19-08-2021,South,Alabama,Birmingham,Men's Athletic Footwear,50,144,720,454,Online
Sports Direct,1197831,11-06-2020,South,Alabama,Birmingham,Women's Street Footwear,43,144,619,396,Online
Amazon,1185732,08-10-2020,Northeast,Maine,Portland,Men's Street Footwear,52,144,749,337,Online
Walmart,1128299,27-10-2021,Southeast,Florida,Orlando,Men's Athletic Footwear,59,144,850,323,Online
West Gear,1185732,03-12-2021,Northeast,New York,Albany,Women's Athletic Footwear,49,144,706,289,Online
West Gear,1185732,17-11-2021,Northeast,New York,Albany,Women's Athletic Footwear,47,144,677,271,Online
Sports Direct,1185732,21-11-2020,Midwest,Michigan,Detroit,Women's Street Footwear,42,144,605,254,Online
Foot Locker,1185732,28-12-2020,Midwest,Missouri,St. Louis,Men's Street Footwear,33,144,475,247,Online
Foot Locker,1185732,24-11-2020,Southeast,South Carolina,Charleston,Women's Athletic Footwear,27,144,389,163,Online
Sports Direct,1185732,19-09-2020,Southeast,North Carolina,Charlotte,Women's Street Footwear,20,144,288,158,Online
Sports Direct,1185732,04-01-2020,South,Mississippi,Jackson,Women's Apparel,71,144,1022,624,Online
Kohl's,1197831,01-12-2020,Midwest,Kansas,Wichita,Men's Street Footwear,37,144,533,266,Online
Foot Locker,1185732,07-04-2020,Northeast,Maryland,Baltimore,Men's Street Footwear,39,144,562,281,Online
Kohl's,1185732,14-01-2020,Northeast,New Jersey,Newark,Men's Street Footwear,32,144,461,212,Online
West Gear,1128299,11-08-2021,West,Nevada,Las Vegas,Women's Street Footwear,46,144,662,272,Outlet
Sports Direct,1197831,23-08-2020,South,Alabama,Birmingham,Women's Apparel,27,144,389,222,Outlet
Sports Direct,1197831,13-05-2021,South,Alabama,Birmingham,Women's Street Footwear,20,144,288,147,Outlet
Foot Locker,1128299,24-09-2020,Southeast,Virginia,Richmond,Women's Athletic Footwear,36,144,518,202,Outlet
Foot Locker,1185732,12-08-2021,Northeast,New Hampshire,Manchester,Women's Apparel,61,144,878,351,Outlet
Foot Locker,1185732,13-11-2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,62,143,887,532,Online
West Gear,1128299,05-06-2021,West,Nevada,Las Vegas,Men's Street Footwear,58,143,829,423,Online
West Gear,1128299,24-12-2021,West,Nevada,Las Vegas,Women's Street Footwear,61,143,872,462,Online
West Gear,1128299,03-02-2020,West,Colorado,Denver,Women's Athletic Footwear,61,143,872,454,Online
West Gear,1128299,11-11-2020,West,Colorado,Denver,Women's Street Footwear,67,143,958,546,Online
Kohl's,1189833,18-02-2021,Midwest,Montana,Billings,Women's Street Footwear,44,143,629,371,Online
Kohl's,1189833,26-03-2020,Midwest,Montana,Billings,Women's Apparel,58,143,829,290,Online
Kohl's,1189833,14-07-2021,Midwest,Montana,Billings,Women's Athletic Footwear,43,143,615,314,Online
Sports Direct,1197831,06-01-2021,South,Alabama,Birmingham,Women's Apparel,36,143,515,386,Online
Sports Direct,1197831,15-01-2021,South,Alabama,Birmingham,Women's Athletic Footwear,63,143,901,676,Online
Amazon,1185732,10-06-2021,Northeast,Maine,Portland,Men's Street Footwear,51,143,729,357,Online
Foot Locker,1128299,18-08-2020,West,Alaska,Anchorage,Men's Street Footwear,33,143,472,170,Online
Foot Locker,1128299,02-09-2021,West,Hawaii,Honolulu,Women's Apparel,69,143,987,543,Online
Walmart,1128299,05-12-2021,Southeast,Florida,Orlando,Women's Athletic Footwear,77,143,1101,462,Online
Walmart,1128299,26-06-2021,Southeast,Florida,Orlando,Men's Apparel,74,143,1058,328,Online
Kohl's,1185732,19-07-2020,Northeast,New York,Albany,Women's Street Footwear,29,143,415,203,Online
Kohl's,1185732,11-11-2020,West,Wyoming,Cheyenne,Women's Street Footwear,38,143,543,245,Online
Kohl's,1185732,24-02-2020,West,Wyoming,Cheyenne,Men's Apparel,51,143,729,299,Online
Foot Locker,1128299,04-05-2020,Southeast,Virginia,Richmond,Men's Street Footwear,38,143,543,255,Online
Sports Direct,1185732,17-09-2021,Midwest,Michigan,Detroit,Women's Apparel,33,143,472,326,Online
Sports Direct,1185732,12-03-2021,Midwest,Michigan,Detroit,Men's Apparel,54,143,772,394,Online
Foot Locker,1185732,18-12-2020,Midwest,Michigan,Detroit,Men's Apparel,55,143,787,409,Online
Foot Locker,1185732,08-02-2020,Midwest,Missouri,St. Louis,Men's Athletic Footwear,38,143,543,250,Online
West Gear,1185732,05-01-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,14,143,200,94,Online
West Gear,1128299,29-07-2021,West,Oregon,Portland,Women's Athletic Footwear,67,143,958,431,Online
West Gear,1197831,22-03-2021,South,Louisiana,New Orleans,Women's Apparel,34,143,486,292,Online
West Gear,1197831,24-10-2021,West,Idaho,Boise,Women's Athletic Footwear,48,143,686,405,Online
Foot Locker,1128299,18-11-2020,West,Idaho,Boise,Men's Street Footwear,29,143,415,207,Online
Kohl's,1128299,16-05-2021,West,New Mexico,Albuquerque,Women's Athletic Footwear,55,143,787,370,Online
Kohl's,1128299,11-07-2020,West,New Mexico,Albuquerque,Women's Street Footwear,46,143,658,309,Online
Sports Direct,1128299,17-06-2020,Southeast,Georgia,Atlanta,Women's Apparel,67,143,958,364,Online
Amazon,1185732,07-04-2020,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33,143,472,236,Online
Amazon,1185732,11-10-2021,Midwest,Ohio,Columbus,Women's Apparel,29,143,415,253,Online
Amazon,1185732,15-07-2020,Midwest,Ohio,Columbus,Women's Street Footwear,39,143,558,284,Online
Amazon,1185732,17-04-2021,Midwest,Ohio,Columbus,Women's Apparel,53,143,758,485,Online
Foot Locker,1185732,31-10-2021,South,Mississippi,Jackson,Women's Street Footwear,41,143,586,322,Online
Walmart,1197831,30-05-2020,South,Arkansas,Little Rock,Women's Apparel,50,143,715,372,Online
West Gear,1197831,24-02-2021,South,Arkansas,Little Rock,Men's Street Footwear,24,143,343,172,Online
Kohl's,1197831,15-03-2021,Midwest,Kansas,Wichita,Men's Street Footwear,36,143,515,232,Online
West Gear,1185732,24-02-2020,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,33,143,472,193,Online
West Gear,1185732,12-07-2021,Northeast,West Virginia,Charleston,Men's Street Footwear,27,143,386,197,Online
Sports Direct,1185732,01-10-2020,Northeast,Connecticut,Hartford,Women's Apparel,56,143,801,384,Online
Foot Locker,1185732,20-09-2020,Northeast,Rhode Island,Providence,Men's Street Footwear,46,143,658,316,Online
Sports Direct,1197831,27-11-2020,South,Texas,Dallas,Women's Street Footwear,27,143,386,135,Outlet
Foot Locker,1185732,25-05-2021,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,53,143,758,462,Outlet
Sports Direct,1197831,02-11-2021,South,Tennessee,Knoxville,Women's Apparel,28,143,400,224,Outlet
Sports Direct,1197831,11-08-2020,South,Tennessee,Knoxville,Men's Apparel,35,143,501,225,Outlet
Foot Locker,1128299,27-08-2021,Southeast,Virginia,Richmond,Women's Street Footwear,33,143,472,184,Outlet
West Gear,1128299,05-01-2021,West,Oregon,Portland,Men's Street Footwear,28,143,400,160,Outlet
West Gear,1128299,21-12-2020,South,Louisiana,New Orleans,Women's Athletic Footwear,55,143,787,370,Outlet
Foot Locker,1128299,19-08-2021,West,Arizona,Phoenix,Men's Athletic Footwear,36,143,515,216,Outlet
Foot Locker,1128299,04-08-2021,Southeast,Georgia,Atlanta,Women's Athletic Footwear,40,143,572,246,Outlet
Walmart,1185732,01-09-2020,South,Mississippi,Jackson,Women's Athletic Footwear,33,143,472,203,Outlet
Sports Direct,1185732,24-05-2020,South,Mississippi,Jackson,Women's Athletic Footwear,41,143,586,276,Outlet
West Gear,1197831,10-11-2021,South,Oklahoma,Oklahoma City,Women's Apparel,40,143,572,240,Outlet
Sports Direct,1197831,14-11-2021,South,Texas,Dallas,Men's Apparel,53,142,753,361,Online
Sports Direct,1197831,05-10-2020,South,Tennessee,Knoxville,Women's Athletic Footwear,27,142,383,230,Online
Foot Locker,1128299,18-03-2021,West,Hawaii,Honolulu,Women's Athletic Footwear,67,142,951,362,Online
Sports Direct,1128299,02-10-2020,West,Hawaii,Honolulu,Women's Apparel,89,142,1264,632,Online
Foot Locker,1128299,03-05-2020,Southeast,Virginia,Richmond,Women's Athletic Footwear,72,142,1022,501,Online
Foot Locker,1128299,23-12-2021,Southeast,Virginia,Richmond,Men's Athletic Footwear,51,142,724,355,Online
Sports Direct,1185732,07-01-2020,Midwest,Michigan,Detroit,Women's Athletic Footwear,34,142,483,217,Online
Foot Locker,1185732,14-08-2020,Midwest,Missouri,St. Louis,Women's Apparel,42,142,596,388,Online
West Gear,1128299,08-05-2020,West,Oregon,Portland,Men's Athletic Footwear,50,142,710,327,Online
West Gear,1128299,06-07-2021,South,Louisiana,New Orleans,Men's Street Footwear,48,142,682,354,Online
Sports Direct,1197831,28-04-2021,West,Idaho,Boise,Women's Apparel,42,142,596,394,Online
Foot Locker,1197831,28-12-2020,West,Idaho,Boise,Women's Athletic Footwear,59,142,838,545,Online
Foot Locker,1128299,06-09-2021,West,Arizona,Phoenix,Men's Athletic Footwear,50,142,710,362,Online
Kohl's,1128299,10-10-2021,West,New Mexico,Albuquerque,Women's Street Footwear,58,142,824,379,Online
Sports Direct,1128299,21-10-2021,Southeast,Georgia,Atlanta,Men's Street Footwear,45,142,639,326,Online
Sports Direct,1128299,09-07-2021,Southeast,Georgia,Atlanta,Women's Street Footwear,52,142,738,354,Online
Sports Direct,1128299,16-01-2021,Southeast,Georgia,Atlanta,Men's Athletic Footwear,47,142,667,347,Online
Sports Direct,1185732,05-12-2020,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,29,142,412,206,Online
Amazon,1185732,27-07-2021,Midwest,Ohio,Columbus,Women's Street Footwear,49,142,696,376,Online
West Gear,1185732,29-03-2021,Midwest,Ohio,Columbus,Men's Apparel,68,142,966,473,Online
Amazon,1185732,29-08-2021,Southeast,Kentucky,Louisville,Men's Street Footwear,36,142,511,256,Online
Foot Locker,1185732,20-03-2020,Southeast,Kentucky,Louisville,Men's Athletic Footwear,29,142,412,185,Online
Walmart,1185732,22-05-2021,South,Mississippi,Jackson,Women's Street Footwear,48,142,682,341,Online
West Gear,1197831,11-05-2021,South,Oklahoma,Oklahoma City,Women's Apparel,61,142,866,468,Online
Foot Locker,1185732,06-05-2021,Northeast,Delaware,Wilmington,Men's Street Footwear,50,142,710,348,Online
Sports Direct,1185732,21-08-2020,Northeast,Connecticut,Hartford,Men's Street Footwear,54,142,767,391,Online
Amazon,1185732,26-02-2020,Northeast,Vermont,Burlington,Men's Street Footwear,44,142,625,375,Online
West Gear,1185732,25-05-2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,19,141,268,110,Online
West Gear,1128299,08-04-2021,West,California,San Francisco,Men's Apparel,50,140,700,427,Online
Sports Direct,1197831,09-09-2020,South,Texas,Dallas,Women's Apparel,32,140,448,251,Online
West Gear,1128299,10-05-2020,West,Colorado,Denver,Men's Apparel,74,140,1036,756,Online
Sports Direct,1197831,02-09-2020,South,Tennessee,Knoxville,Men's Apparel,50,140,700,350,Online
Amazon,1185732,03-07-2020,Northeast,Maine,Portland,Men's Street Footwear,38,140,532,261,Online
Walmart,1128299,18-11-2021,West,Hawaii,Honolulu,Women's Apparel,82,140,1148,597,Online
Walmart,1128299,06-05-2021,Southeast,Florida,Orlando,Men's Street Footwear,58,140,812,325,Online
Kohl's,1185732,27-06-2021,West,Wyoming,Cheyenne,Men's Athletic Footwear,39,140,546,246,Online
Kohl's,1185732,02-06-2021,West,Wyoming,Cheyenne,Women's Athletic Footwear,38,140,532,250,Online
Kohl's,1185732,28-12-2020,West,Wyoming,Cheyenne,Men's Apparel,47,140,658,270,Online
West Gear,1128299,15-11-2021,West,Oregon,Portland,Men's Street Footwear,33,140,462,245,Online
Kohl's,1128299,30-10-2021,West,New Mexico,Albuquerque,Women's Apparel,69,140,966,367,Online
Kohl's,1128299,17-01-2021,West,New Mexico,Albuquerque,Women's Apparel,72,140,1008,393,Online
Sports Direct,1185732,15-10-2021,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,24,140,336,181,Online
Amazon,1185732,16-03-2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,49,140,686,350,Online
Amazon,1185732,11-09-2021,Midwest,Ohio,Columbus,Men's Athletic Footwear,24,140,336,151,Online
Foot Locker,1185732,04-10-2020,South,Mississippi,Jackson,Women's Apparel,47,140,658,421,Online
West Gear,1197831,24-05-2021,South,Arkansas,Little Rock,Men's Athletic Footwear,54,140,756,355,Online
Kohl's,1197831,27-11-2020,Midwest,Kansas,Wichita,Women's Apparel,60,140,840,412,Online
Sports Direct,1185732,06-06-2020,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,58,140,812,374,Online
West Gear,1185732,29-09-2020,Midwest,Iowa,Des Moines,Men's Street Footwear,29,140,406,166,Online
West Gear,1185732,21-03-2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,32,140,448,233,Online
Sports Direct,1185732,26-02-2020,Northeast,Rhode Island,Providence,Men's Street Footwear,36,140,504,207,Online
Kohl's,1189833,30-03-2020,West,California,Los Angeles,Men's Apparel,40,140,560,319,Outlet
Kohl's,1189833,04-04-2020,West,California,Los Angeles,Men's Apparel,38,140,532,314,Outlet
Sports Direct,1197831,05-10-2021,South,Texas,Dallas,Women's Athletic Footwear,26,140,364,171,Outlet
Foot Locker,1185732,27-07-2020,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35,140,490,279,Outlet
West Gear,1128299,26-12-2020,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36,140,504,237,Outlet
West Gear,1128299,04-05-2020,West,Nevada,Las Vegas,Women's Street Footwear,31,140,434,187,Outlet
West Gear,1128299,06-10-2020,West,Nevada,Las Vegas,Women's Apparel,31,140,434,100,Outlet
West Gear,1128299,16-12-2021,West,Nevada,Las Vegas,Women's Apparel,54,140,756,242,Outlet
West Gear,1128299,28-03-2020,West,Nevada,Las Vegas,Women's Athletic Footwear,46,140,644,270,Outlet
West Gear,1128299,24-09-2021,West,Nevada,Las Vegas,Women's Apparel,54,140,756,159,Outlet
West Gear,1128299,05-08-2021,West,Nevada,Las Vegas,Women's Street Footwear,44,140,616,259,Outlet
Sports Direct,1197831,21-11-2021,South,Tennessee,Knoxville,Women's Street Footwear,23,140,322,126,Outlet
Sports Direct,1197831,05-11-2021,South,Tennessee,Knoxville,Men's Apparel,43,140,602,277,Outlet
Foot Locker,1185732,16-01-2020,South,Tennessee,Knoxville,Men's Street Footwear,27,140,378,166,Outlet
Sports Direct,1197831,16-07-2021,South,Alabama,Birmingham,Women's Athletic Footwear,37,140,518,332,Outlet
Sports Direct,1197831,30-03-2020,South,Alabama,Birmingham,Men's Apparel,42,140,588,294,Outlet
Amazon,1185732,20-09-2021,South,Alabama,Birmingham,Men's Street Footwear,27,140,378,147,Outlet
Walmart,1128299,05-05-2021,Southeast,Florida,Orlando,Men's Street Footwear,39,140,546,202,Outlet
Walmart,1128299,14-11-2021,Southeast,Florida,Orlando,Women's Apparel,53,140,742,386,Outlet
Sports Direct,1185732,03-12-2020,Southeast,Virginia,Richmond,Men's Apparel,30,140,420,189,Outlet
West Gear,1185732,25-09-2020,West,Utah,Salt Lake City,Women's Street Footwear,16,140,224,87,Outlet
West Gear,1185732,12-02-2020,West,Utah,Salt Lake City,Women's Apparel,21,140,294,168,Outlet
West Gear,1185732,18-05-2021,West,Utah,Salt Lake City,Men's Apparel,28,140,392,149,Outlet
West Gear,1185732,19-08-2020,West,Utah,Salt Lake City,Women's Apparel,25,140,350,189,Outlet
West Gear,1128299,27-04-2020,West,Oregon,Portland,Men's Apparel,67,140,938,431,Outlet
West Gear,1128299,26-12-2020,West,Oregon,Portland,Women's Apparel,34,140,476,190,Outlet
West Gear,1128299,31-03-2020,South,Louisiana,New Orleans,Women's Apparel,44,140,616,246,Outlet
Sports Direct,1197831,29-09-2020,West,Idaho,Boise,Men's Apparel,42,140,588,241,Outlet
Foot Locker,1128299,29-11-2020,West,Idaho,Boise,Men's Athletic Footwear,30,140,420,181,Outlet
Foot Locker,1128299,03-02-2021,West,Idaho,Boise,Women's Apparel,27,140,378,102,Outlet
Foot Locker,1128299,16-02-2021,West,Arizona,Phoenix,Women's Apparel,39,140,546,153,Outlet
Kohl's,1128299,12-12-2021,West,New Mexico,Albuquerque,Women's Apparel,35,140,490,137,Outlet
Kohl's,1128299,20-07-2021,West,New Mexico,Albuquerque,Women's Street Footwear,44,140,616,259,Outlet
Sports Direct,1128299,24-09-2021,West,New Mexico,Albuquerque,Men's Athletic Footwear,27,140,378,178,Outlet
Sports Direct,1128299,15-12-2020,West,New Mexico,Albuquerque,Women's Street Footwear,32,140,448,188,Outlet
Sports Direct,1128299,06-05-2021,West,New Mexico,Albuquerque,Women's Apparel,28,140,392,125,Outlet
Sports Direct,1128299,12-07-2021,Southeast,Georgia,Atlanta,Men's Apparel,51,140,714,278,Outlet
Sports Direct,1128299,24-12-2020,Southeast,Georgia,Atlanta,Women's Athletic Footwear,37,140,518,238,Outlet
Foot Locker,1185732,27-11-2021,South,Mississippi,Jackson,Men's Athletic Footwear,28,140,392,161,Outlet
Sports Direct,1197831,10-06-2020,South,Mississippi,Jackson,Women's Street Footwear,11,140,154,68,Outlet
Walmart,1197831,04-11-2020,South,Arkansas,Little Rock,Women's Street Footwear,32,140,448,197,Outlet
Walmart,1197831,29-12-2020,South,Arkansas,Little Rock,Women's Apparel,22,140,308,129,Outlet
West Gear,1197831,04-09-2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,37,140,518,218,Outlet
Sports Direct,1185732,18-12-2021,Northeast,Rhode Island,Providence,Men's Street Footwear,28,140,392,129,Outlet
West Gear,1185732,01-12-2021,Northeast,Vermont,Burlington,Men's Street Footwear,54,140,756,378,Outlet
Amazon,1185732,17-10-2021,Northeast,New Hampshire,Manchester,Women's Apparel,46,140,644,251,Outlet
Amazon,1185732,16-12-2021,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,40,140,560,263,Outlet
Foot Locker,1185732,05-09-2020,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,58,139,806,379,Online
Sports Direct,1197831,08-03-2020,South,Texas,Dallas,Men's Apparel,56,138,773,371,Online
West Gear,1128299,01-12-2021,West,Nevada,Las Vegas,Men's Apparel,68,138,938,638,Online
West Gear,1128299,24-02-2020,West,Nevada,Las Vegas,Men's Street Footwear,56,138,773,379,Online
West Gear,1128299,03-11-2020,West,Washington,Seattle,Men's Street Footwear,36,138,497,214,Online
West Gear,1128299,26-11-2020,West,Washington,Seattle,Men's Athletic Footwear,64,138,883,327,Online
West Gear,1128299,05-04-2020,West,Washington,Seattle,Women's Apparel,88,138,1214,376,Online
West Gear,1128299,01-07-2020,West,Washington,Seattle,Women's Street Footwear,73,138,1007,393,Online
West Gear,1128299,19-07-2021,West,Washington,Seattle,Women's Athletic Footwear,76,138,1049,451,Online
Kohl's,1189833,01-03-2021,Midwest,Montana,Billings,Women's Apparel,43,138,593,231,Online
Sports Direct,1197831,15-07-2021,Midwest,Nebraska,Omaha,Women's Street Footwear,28,138,386,213,Online
Sports Direct,1197831,26-02-2021,Midwest,Nebraska,Omaha,Women's Athletic Footwear,33,138,455,291,Online
Sports Direct,1197831,20-10-2021,South,Alabama,Birmingham,Women's Apparel,32,138,442,309,Online
Amazon,1185732,07-02-2020,Northeast,Maine,Portland,Men's Street Footwear,62,138,856,411,Online
Walmart,1128299,13-01-2021,West,Hawaii,Honolulu,Men's Athletic Footwear,61,138,842,253,Online
Walmart,1128299,27-02-2020,Southeast,Florida,Orlando,Men's Street Footwear,62,138,856,359,Online
West Gear,1185732,19-09-2021,Southeast,Florida,Orlando,Men's Athletic Footwear,42,138,580,284,Online
West Gear,1185732,15-06-2020,Northeast,New York,Albany,Women's Street Footwear,41,138,566,198,Online
Foot Locker,1128299,25-12-2020,Southeast,Virginia,Richmond,Women's Street Footwear,43,138,593,285,Online
Sports Direct,1185732,17-02-2021,Southeast,Virginia,Richmond,Women's Apparel,33,138,455,310,Online
Sports Direct,1185732,07-09-2020,Midwest,Michigan,Detroit,Women's Apparel,33,138,455,305,Online
